C=0.125000, gamma=0.062500: accuracy=0.955972
C=0.125000, gamma=0.125000: accuracy=0.957956
C=0.125000, gamma=0.250000: accuracy=0.958759
C=0.125000, gamma=0.500000: accuracy=0.958865
C=0.125000, gamma=1.000000: accuracy=0.959101
C=0.125000, gamma=2.000000: accuracy=0.958995
C=0.250000, gamma=0.062500: accuracy=0.957672
C=0.250000, gamma=0.125000: accuracy=0.958440
C=0.250000, gamma=0.250000: accuracy=0.959090
C=0.250000, gamma=0.500000: accuracy=0.958995
C=0.250000, gamma=1.000000: accuracy=0.959290
C=0.250000, gamma=2.000000: accuracy=0.959444
C=0.500000, gamma=0.062500: accuracy=0.958239
C=0.500000, gamma=0.125000: accuracy=0.958960
C=0.500000, gamma=0.250000: accuracy=0.959255
C=0.500000, gamma=0.500000: accuracy=0.959314
C=0.500000, gamma=1.000000: accuracy=0.959574
C=0.500000, gamma=2.000000: accuracy=0.959456
C=1.000000, gamma=0.062500: accuracy=0.958747
C=1.000000, gamma=0.125000: accuracy=0.959290
C=1.000000, gamma=0.250000: accuracy=0.959409
C=1.000000, gamma=0.500000: accuracy=0.959503
C=1.000000, gamma=1.000000: accuracy=0.959739
C=1.000000, gamma=2.000000: accuracy=0.959574
C=2.000000, gamma=0.062500: accuracy=0.958924
C=2.000000, gamma=0.125000: accuracy=0.959468
C=2.000000, gamma=0.250000: accuracy=0.959456
C=2.000000, gamma=0.500000: accuracy=0.959598
C=2.000000, gamma=1.000000: accuracy=0.959881
C=2.000000, gamma=2.000000: accuracy=0.959763
C=4.000000, gamma=0.062500: accuracy=0.959326
C=4.000000, gamma=0.125000: accuracy=0.959692
C=4.000000, gamma=0.250000: accuracy=0.959550
C=4.000000, gamma=0.500000: accuracy=0.959751
C=4.000000, gamma=1.000000: accuracy=0.959928
C=4.000000, gamma=2.000000: accuracy=0.959964
C=8.000000, gamma=0.062500: accuracy=0.959527
C=8.000000, gamma=0.125000: accuracy=0.959550
C=8.000000, gamma=0.250000: accuracy=0.959468
C=8.000000, gamma=0.500000: accuracy=0.960094
C=8.000000, gamma=1.000000: accuracy=0.959881
C=8.000000, gamma=2.000000: accuracy=0.960105
